Time [s],Packet ID,MOSI,MISO
11.021641916666667,927,0xFF,0x00
11.021646541666666,928,0x44,0xFF
11.021647541666667,928,0xFF,0x00
11.021652166666666,929,0x44,0xFF
11.021653166666667,929,0xFF,0x00
11.021657791666666,930,0x44,0xFF
11.021658791666667,930,0xFF,0xFF
11.021665041666667,931,0xEA,0xFF
11.021666041666666,931,0xB0,0xFF
11.021667041666667,931,0x09,0xFF
11.021668041666667,931,0xE6,0xFF
11.021669041666666,931,0xFF,0xFF
11.021670041666667,931,0x94,0xFF
11.021671041666666,931,0xBB,0xFF
11.021672041666667,931,0xA9,0xFF
11.021677416666666,932,0x44,0xFF
11.021678416666667,932,0xFF,0x00
11.021683166666667,933,0x44,0xFF
11.021684166666667,933,0xFF,0x00
11.021688916666667,934,0x44,0xFF
11.021689916666666,934,0xFF,0x00
11.021694541666667,935,0x44,0xFF
11.021695541666666,935,0xFF,0x00
11.021700166666667,936,0x44,0xFF
11.021701166666666,936,0xFF,0x00
11.021705833333334,937,0x44,0xFF
11.021706833333333,937,0xFF,0x00
11.021711458333334,938,0x44,0xFF
11.021712458333333,938,0xFF,0x00
11.021717083333334,939,0x44,0xFF
11.021718083333333,939,0xFF,0x00
11.021722708333334,940,0x44,0xFF
11.021723708333333,940,0xFF,0x00
11.021728458333333,941,0x44,0xFF
11.021729458333333,941,0xFF,0x00
11.021734083333333,942,0x44,0xFF
11.021735083333333,942,0xFF,0x00
11.021739708333333,943,0x44,0xFF
11.021740708333333,943,0xFF,0x00
11.021745333333334,944,0x44,0xFF
11.021746333333333,944,0xFF,0x00
11.021751958333333,945,0x44,0xFF
11.021752958333334,945,0xFF,0xFF
11.021758958333333,946,0x05,0xFF
11.021759958333334,946,0xD7,0xFF
11.021760958333333,946,0x11,0xFF
11.021761958333334,946,0x29,0xFF
11.021762958333333,946,0xFE,0xFF
11.021763958333333,946,0xDC,0xFF
11.021764958333334,946,0x71,0xFF
11.021765958333333,946,0xD5,0xFF
11.021771208333334,947,0x44,0xFF
11.021772208333333,947,0xFF,0x00
11.021776833333334,948,0x44,0xFF
11.021777833333333,948,0xFF,0x00
11.021782458333334,949,0x44,0xFF
11.021783458333333,949,0xFF,0x00
11.021788083333334,950,0x44,0xFF
11.021789083333333,950,0xFF,0x00
11.021793708333334,951,0x44,0xFF
11.021794708333333,951,0xFF,0x00
11.021799458333334,952,0x44,0xFF
11.021800458333333,952,0xFF,0x00
11.021805083333334,953,0x44,0xFF
11.021806083333333,953,0xFF,0x00
11.021810708333334,954,0x44,0xFF
11.021811708333333,954,0xFF,0x00
11.021816458333333,955,0x44,0xFF
11.021817458333333,955,0xFF,0x00
11.021822083333333,956,0x44,0xFF
11.021823083333333,956,0xFF,0x00
11.021827708333333,957,0x44,0xFF
11.021828708333333,957,0xFF,0xFF
11.021834708333333,958,0xEA,0xFF
11.021835708333333,958,0x7F,0xFF
11.021836708333334,958,0x83,0xFF
11.021837708333333,958,0xA7,0xFF
11.021838708333334,958,0x60,0xFF
11.021839708333333,958,0x90,0xFF
11.021840708333333,958,0x62,0xFF
11.021841708333334,958,0x18,0xFF
11.021846958333333,959,0x44,0xFF
11.021847958333334,959,0xFF,0x00
11.021852583333333,960,0x44,0xFF
11.021853583333334,960,0xFF,0x00
11.021858208333333,961,0x44,0xFF
11.021859208333334,961,0xFF,0x00
11.021863833333333,962,0x44,0xFF
11.021864833333334,962,0xFF,0x00
11.021869458333333,963,0x44,0xFF
11.021870458333334,963,0xFF,0x00
11.021875208333332,964,0x44,0xFF
11.021876208333333,964,0xFF,0x00
11.021880833333332,965,0x44,0xFF
11.021881833333333,965,0xFF,0x00
11.021886458333332,966,0x44,0xFF
11.021887458333333,966,0xFF,0x00
11.021892083333332,967,0x44,0xFF
11.021893083333334,967,0xFF,0x00
11.021897708333332,968,0x44,0xFF
11.021898708333334,968,0xFF,0x00
11.021903458333334,969,0x44,0xFF
11.021904458333333,969,0xFF,0x00
11.021909083333334,970,0x44,0xFF
11.021910083333333,970,0xFF,0x00
11.021914708333334,971,0x44,0xFF
11.021915708333333,971,0xFF,0x00
11.021921458333333,972,0x44,0xFF
11.021922458333334,972,0xFF,0xFF
11.021928583333333,973,0x05,0xFF
11.021929583333334,973,0x84,0xFF
11.021930583333333,973,0x7F,0xFF
11.021931583333334,973,0x6A,0xFF
11.021932583333333,973,0xD1,0xFF
11.021933583333333,973,0x91,0xFF
11.021934583333334,973,0xC6,0xFF
11.021935583333333,973,0x52,0xFF
11.021940833333334,974,0x44,0xFF
11.021941833333333,974,0xFF,0x00
11.021946458333334,975,0x44,0xFF
11.021947458333333,975,0xFF,0x00
11.021952083333334,976,0x44,0xFF
11.021953083333333,976,0xFF,0x00
11.021957708333334,977,0x44,0xFF
11.021958708333333,977,0xFF,0x00
11.021963333333334,978,0x44,0xFF
11.021964333333333,978,0xFF,0x00
11.021968958333334,979,0x44,0xFF
11.021969958333333,979,0xFF,0x00
11.021974708333333,980,0x44,0xFF
11.021975708333333,980,0xFF,0x00
11.021980458333333,981,0x44,0xFF
11.021981458333334,981,0xFF,0x00
11.021986083333333,982,0x44,0xFF
11.021987083333334,982,0xFF,0x00
11.021991708333333,983,0x44,0xFF
11.021992708333334,983,0xFF,0x00
11.021997333333333,984,0x44,0xFF
11.021998333333332,984,0xFF,0xFF
11.022004583333333,985,0xEA,0xFF
11.022005583333334,985,0x2A,0xFF
11.022006583333333,985,0xD8,0xFF
11.022007583333334,985,0x7B,0xFF
11.022008583333333,985,0x8E,0xFF
11.022009583333332,985,0x4A,0xFF
11.022010583333333,985,0x9F,0xFF
11.022011583333333,985,0x91,0xFF
11.022016958333333,986,0x44,0xFF
11.022017958333333,986,0xFF,0x00
11.022022583333333,987,0x44,0xFF
11.022023583333333,987,0xFF,0x00
11.022028208333333,988,0x44,0xFF
11.022029208333333,988,0xFF,0x00
11.022033833333333,989,0x44,0xFF
11.022034833333333,989,0xFF,0x00
11.022042583333333,990,0x44,0xFF
11.022043583333334,990,0xFF,0x00
11.022048500000000,991,0x44,0xFF
11.022049500000000,991,0xFF,0x00
11.022054499999999,992,0x44,0xFF
11.022055500000000,992,0xFF,0x00
11.022069625000000,993,0x44,0xFF
11.022070625000000,993,0xFF,0x00
11.022075500000000,994,0x44,0xFF
11.022076500000001,994,0xFF,0x00
11.022081875000000,995,0x44,0xFF
11.022082875000001,995,0xFF,0x00
11.022088500000001,996,0x44,0xFF
11.022089500000000,996,0xFF,0xFF
11.022096500000000,997,0x05,0xFF
11.022097499999999,997,0xBD,0xFF
11.022098500000000,997,0xAA,0xFF
11.022099499999999,997,0x9D,0xFF
11.022100500000001,997,0x16,0xFF
11.022101500000000,997,0x18,0xFF
11.022102500000001,997,0x06,0xFF
11.022103500000000,997,0x15,0xFF
11.022112750000000,998,0x44,0xFF
11.022113750000001,998,0xFF,0x00
11.022119999999999,999,0x44,0xFF
11.022121000000000,999,0xFF,0x00
11.022127250000000,1000,0x44,0xFF
11.022128250000000,1000,0xFF,0x00
11.022135000000000,1001,0x44,0xFF
11.022136000000000,1001,0xFF,0x00
11.022140750000000,1002,0x44,0xFF
11.022141749999999,1002,0xFF,0x00
11.022148000000000,1003,0x44,0xFF
11.022149000000001,1003,0xFF,0x00
11.022153625000000,1004,0x44,0xFF
11.022154625000001,1004,0xFF,0x00
11.022159250000000,1005,0x44,0xFF
11.022160250000001,1005,0xFF,0x00
11.022164999999999,1006,0x44,0xFF
11.022166000000000,1006,0xFF,0xFF
11.022172500000000,1007,0xE2,0xFF
11.022173499999999,1007,0x55,0xFF
11.022174500000000,1007,0xAD,0xFF
11.022175499999999,1007,0x2D,0xFF
11.022176500000000,1007,0x0A,0xFF
11.022177500000000,1007,0x14,0xFF
11.022178500000001,1007,0x1F,0xFF
11.022179500000000,1007,0x5D,0xFF
11.022186124999999,1008,0x44,0xFF
11.022187125000000,1008,0xFF,0x00
11.022192000000000,1009,0x44,0xFF
11.022193000000000,1009,0xFF,0x00
11.022197750000000,1010,0x44,0xFF
11.022198749999999,1010,0xFF,0x00
11.022203625000000,1011,0x44,0xFF
11.022204625000001,1011,0xFF,0x00
11.022209374999999,1012,0x44,0xFF
11.022210375000000,1012,0xFF,0x00
11.022215125000001,1013,0x44,0xFF
11.022216125000000,1013,0xFF,0x00
11.022221000000000,1014,0x44,0xFF
11.022221999999999,1014,0xFF,0x00
11.022226750000000,1015,0x44,0xFF
11.022227750000001,1015,0xFF,0x00
11.022232499999999,1016,0x44,0xFF
11.022233500000000,1016,0xFF,0x00
11.022238375000001,1017,0x44,0xFF
11.022239375000000,1017,0xFF,0x00
11.022244125000000,1018,0x44,0xFF
11.022245125000000,1018,0xFF,0x00
11.022249875000000,1019,0x44,0xFF
11.022250874999999,1019,0xFF,0x00
11.022256125000000,1020,0x44,0xFF
11.022257124999999,1020,0xFF,0xFF
11.022263875000000,1021,0x05,0xFF
11.022264874999999,1021,0xD3,0xFF
11.022265875000000,1021,0xE0,0xFF
11.022266875000000,1021,0x7C,0xFF
11.022267875000001,1021,0x39,0xFF
11.022268875000000,1021,0xCF,0xFF
11.022269874999999,1021,0x01,0xFF
11.022270875000000,1021,0xF0,0xFF
11.022276500000000,1022,0x44,0xFF
11.022277500000000,1022,0xFF,0x00
11.022282375000000,1023,0x44,0xFF
11.022283375000001,1023,0xFF,0x00
11.022288250000001,1024,0x44,0xFF
11.022289250000000,1024,0xFF,0x00
11.022294000000000,1025,0x44,0xFF
11.022295000000000,1025,0xFF,0x00
11.022299625000000,1026,0x44,0xFF
11.022300625000000,1026,0xFF,0x00
11.022305375000000,1027,0x44,0xFF
11.022306374999999,1027,0xFF,0x00
11.022311000000000,1028,0x44,0xFF
11.022311999999999,1028,0xFF,0x00
11.022319124999999,1029,0x44,0xFF
11.022320125000000,1029,0xFF,0x00
11.022325000000000,1030,0x44,0xFF
11.022326000000000,1030,0xFF,0x00
11.022330999999999,1031,0x44,0xFF
11.022332000000000,1031,0xFF,0xFF
11.022339499999999,1032,0xEF,0xFF
11.022340500000000,1032,0x3A,0xFF
11.022341500000000,1032,0x91,0xFF
11.022342500000001,1032,0x72,0xFF
11.022343500000000,1032,0x6A,0xFF
11.022344500000001,1032,0x03,0xFF
11.022345500000000,1032,0xBB,0xFF
11.022346499999999,1032,0x96,0xFF
11.022352000000000,1033,0x44,0xFF
11.022353000000001,1033,0xFF,0x00
11.022357625000000,1034,0x44,0xFF
11.022358625000001,1034,0xFF,0x00
11.022363250000000,1035,0x44,0xFF
11.022364250000001,1035,0xFF,0x00
11.022368999999999,1036,0x44,0xFF
11.022370000000000,1036,0xFF,0x00
11.022374624999999,1037,0x44,0xFF
11.022375625000000,1037,0xFF,0x00
11.022380249999999,1038,0x44,0xFF
11.022381250000000,1038,0xFF,0x00
11.022385874999999,1039,0x44,0xFF
11.022386875000000,1039,0xFF,0x00
11.022391666666667,1040,0x44,0xFF
11.022392666666667,1040,0xFF,0x00
11.022397291666667,1041,0x44,0xFF
11.022398291666667,1041,0xFF,0x00
11.022403041666667,1042,0x44,0xFF
11.022404041666666,1042,0xFF,0x00
11.022408666666667,1043,0x44,0xFF
11.022409666666666,1043,0xFF,0x00
11.022414291666667,1044,0x44,0xFF
11.022415291666666,1044,0xFF,0x00
11.022419916666667,1045,0x44,0xFF
11.022420916666666,1045,0xFF,0x00
11.022425541666667,1046,0x44,0xFF
11.022426541666666,1046,0xFF,0xFF
11.022433041666666,1047,0xE7,0xFF
11.022434041666667,1047,0x83,0xFF
11.022435041666666,1047,0x6D,0xFF
11.022436041666667,1047,0xA4,0xFF
11.022437041666667,1047,0x92,0xFF
11.022438041666666,1047,0xFC,0xFF
11.022439041666667,1047,0x13,0xFF
11.022440041666666,1047,0xA7,0xFF
11.022445291666667,1048,0x44,0xFF
11.022446291666666,1048,0xFF,0x00
11.022451041666667,1049,0x44,0xFF
11.022452041666666,1049,0xFF,0x00
11.022456666666667,1050,0x44,0xFF
11.022457666666666,1050,0xFF,0x00
11.022462291666667,1051,0x44,0xFF
11.022463291666666,1051,0xFF,0x00
11.022467916666667,1052,0x44,0xFF
11.022468916666666,1052,0xFF,0x00
11.022473666666667,1053,0x44,0xFF
11.022474666666668,1053,0xFF,0x00
11.022479291666667,1054,0x44,0xFF
11.022480291666668,1054,0xFF,0x00
11.022485041666666,1055,0x44,0xFF
11.022486041666667,1055,0xFF,0x00
11.022490666666666,1056,0x44,0xFF
11.022491666666667,1056,0xFF,0x00
11.022496291666666,1057,0x44,0xFF
11.022497291666667,1057,0xFF,0x00
11.022501916666666,1058,0x44,0xFF
11.022502916666667,1058,0xFF,0x00
11.022507541666666,1059,0x44,0xFF
11.022508541666667,1059,0xFF,0x00
11.022513166666666,1060,0x44,0xFF
11.022514166666667,1060,0xFF,0x00
11.022518791666666,1061,0x44,0xFF
11.022519791666667,1061,0xFF,0xFF
11.022526041666667,1062,0xEF,0xFF
11.022527041666667,1062,0xF8,0xFF
11.022528041666666,1062,0xFD,0xFF
11.022529041666667,1062,0xCF,0xFF
11.022530041666666,1062,0x62,0xFF
11.022531041666667,1062,0x07,0xFF
11.022532041666667,1062,0x6F,0xFF
11.022533041666666,1062,0x1E,0xFF
11.022538291666667,1063,0x44,0xFF
11.022539291666666,1063,0xFF,0x00
11.022543916666667,1064,0x44,0xFF
11.022544916666666,1064,0xFF,0x00
11.022549541666667,1065,0x44,0xFF
11.022550541666666,1065,0xFF,0x00
11.022555166666667,1066,0x44,0xFF
11.022556166666666,1066,0xFF,0x00
11.022560791666667,1067,0x44,0xFF
11.022561791666666,1067,0xFF,0x00
11.022566541666666,1068,0x44,0xFF
11.022567541666668,1068,0xFF,0x00
11.022572166666667,1069,0x44,0xFF
11.022573166666668,1069,0xFF,0x00
11.022577791666667,1070,0x44,0xFF
11.022578791666668,1070,0xFF,0x00
11.022583416666667,1071,0x44,0xFF
11.022584416666668,1071,0xFF,0x00
11.022589041666667,1072,0x44,0xFF
11.022590041666666,1072,0xFF,0x00
11.022594666666667,1073,0x44,0xFF
11.022595666666666,1073,0xFF,0x00
11.022600291666667,1074,0x44,0xFF
11.022601291666666,1074,0xFF,0x00
11.022605916666667,1075,0x44,0xFF
11.022606916666666,1075,0xFF,0x00
11.022611541666667,1076,0x44,0xFF
11.022612541666666,1076,0xFF,0xFF
11.022618541666667,1077,0xE7,0xFF
11.022619541666666,1077,0x4C,0xFF
11.022620541666667,1077,0xEA,0xFF
